epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.07379,1.18549,2.53652,1.00121,0.00391,0.36862,0.23504,0.16029,1.53725,3.58594,0.90801,0.000362776,0.000362776,0.000362776
2,18.0174,1.11548,1.47307,0.97768,0.79782,0.18228,0.46767,0.28726,1.59355,2.28312,0.92456,0.000718593,0.000718593,0.000718593
3,26.8442,1.09566,1.29718,0.97881,0.72077,0.40754,0.44144,0.26628,1.54771,1.71771,0.92204,0.00105975,0.00105975,0.00105975
4,35.6682,1.07951,1.1807,0.97897,0.61449,0.57659,0.50568,0.32212,1.5218,1.47669,0.94119,0.00104501,0.00104501,0.00104501
5,44.4933,1.02968,1.08722,0.95214,0.73814,0.58031,0.63052,0.39121,1.54004,1.3021,0.93366,0.00102301,0.00102301,0.00102301
6,53.3159,0.99972,0.99937,0.94578,0.61192,0.60601,0.62865,0.39013,1.44026,1.13947,0.91177,0.00100101,0.00100101,0.00100101
7,62.095,0.99481,0.93451,0.94256,0.52648,0.67879,0.62189,0.38896,1.55083,1.26205,0.91725,0.000979013,0.000979013,0.000979013
8,70.8931,0.99101,0.87117,0.94871,0.68406,0.59742,0.62988,0.42104,1.3978,1.3271,0.8992,0.000957015,0.000957015,0.000957015
9,79.712,0.96724,0.8475,0.93562,0.71965,0.63471,0.70313,0.4576,1.36762,1.16215,0.89639,0.000935018,0.000935018,0.000935018
10,88.5276,0.94256,0.78775,0.93391,0.69456,0.61218,0.65317,0.41289,1.40824,0.9644,0.90049,0.00091302,0.00091302,0.00091302
11,97.3523,0.91164,0.73835,0.92453,0.77249,0.57442,0.64047,0.41421,1.38722,0.98886,0.89847,0.000891022,0.000891022,0.000891022
12,106.177,0.91773,0.73481,0.92105,0.65287,0.54994,0.58559,0.35177,1.38007,1.00593,0.89632,0.000869024,0.000869024,0.000869024
13,115.01,0.89828,0.70656,0.91058,0.81141,0.50508,0.60995,0.3975,1.39923,0.98179,0.89801,0.000847026,0.000847026,0.000847026
14,123.791,0.88151,0.65321,0.91343,0.83371,0.58034,0.63453,0.4093,1.38353,0.96876,0.89369,0.000825029,0.000825029,0.000825029
15,132.633,0.86919,0.6527,0.91627,0.84953,0.56388,0.66666,0.43379,1.36213,1.09061,0.90088,0.000803031,0.000803031,0.000803031
16,141.493,0.88149,0.65797,0.92048,0.7974,0.55886,0.63968,0.40523,1.34132,0.92228,0.89072,0.000781033,0.000781033,0.000781033
17,150.32,0.87353,0.65237,0.90957,0.78516,0.53953,0.67447,0.43487,1.38213,1.05037,0.89724,0.000759035,0.000759035,0.000759035
18,159.176,0.8571,0.63191,0.91456,0.72696,0.57751,0.64221,0.42081,1.37097,0.93147,0.88851,0.000737037,0.000737037,0.000737037
19,168.138,0.83609,0.61719,0.90372,0.72615,0.58992,0.65937,0.42764,1.30494,0.9525,0.89352,0.00071504,0.00071504,0.00071504
20,177.072,0.81921,0.5941,0.89747,0.75491,0.5771,0.637,0.40746,1.44125,1.0047,0.90143,0.000693042,0.000693042,0.000693042
21,186.052,0.81208,0.58044,0.89262,0.8234,0.6082,0.66203,0.41824,1.33221,0.89987,0.88823,0.000671044,0.000671044,0.000671044
22,195.057,0.79676,0.56936,0.90044,0.81313,0.55095,0.67529,0.4393,1.29779,0.8668,0.88725,0.000649046,0.000649046,0.000649046
23,204.11,0.78957,0.56524,0.89488,0.85402,0.57538,0.69277,0.44021,1.32231,0.93001,0.89067,0.000627048,0.000627048,0.000627048
24,213.168,0.79406,0.56631,0.89616,0.8381,0.54802,0.65011,0.42968,1.45456,1.01369,0.89751,0.000605051,0.000605051,0.000605051
25,222.296,0.79078,0.55254,0.89135,0.74137,0.56772,0.66821,0.44308,1.35412,1.0084,0.89595,0.000583053,0.000583053,0.000583053
26,231.513,0.76511,0.53669,0.88586,0.61826,0.66254,0.67212,0.44519,1.35428,0.904,0.88744,0.000561055,0.000561055,0.000561055
27,240.597,0.77511,0.54057,0.89027,0.72816,0.56094,0.68782,0.4446,1.38433,0.95585,0.9007,0.000539057,0.000539057,0.000539057
28,249.714,0.75262,0.51698,0.88883,0.60491,0.61651,0.64215,0.42617,1.39313,1.00242,0.9006,0.000517059,0.000517059,0.000517059
29,258.821,0.75642,0.52702,0.88718,0.81393,0.53886,0.65989,0.44518,1.31428,0.95058,0.89179,0.000495062,0.000495062,0.000495062
30,267.957,0.74082,0.50889,0.87487,0.83834,0.56552,0.66595,0.44205,1.33473,1.01166,0.88998,0.000473064,0.000473064,0.000473064
31,277.04,0.74192,0.50541,0.87271,0.82026,0.54487,0.65643,0.43026,1.30257,0.99646,0.89153,0.000451066,0.000451066,0.000451066
32,286.211,0.73794,0.49687,0.88922,0.86647,0.56037,0.67639,0.45256,1.31199,0.93308,0.89259,0.000429068,0.000429068,0.000429068
33,295.385,0.7372,0.50017,0.8823,0.78382,0.61729,0.71003,0.46727,1.31446,0.89298,0.88809,0.00040707,0.00040707,0.00040707
34,304.556,0.73759,0.49046,0.86924,0.84496,0.5716,0.6886,0.4474,1.33824,0.87089,0.88857,0.000385073,0.000385073,0.000385073
35,313.764,0.72769,0.4818,0.87771,0.85458,0.59382,0.69533,0.455,1.33138,0.90913,0.88505,0.000363075,0.000363075,0.000363075
36,322.962,0.69357,0.46279,0.86846,0.68375,0.6533,0.68067,0.45543,1.30434,0.89186,0.88636,0.000341077,0.000341077,0.000341077
37,332.16,0.71718,0.46992,0.87838,0.79476,0.58757,0.68173,0.46006,1.26763,0.88556,0.88203,0.000319079,0.000319079,0.000319079
38,341.449,0.70198,0.46443,0.86587,0.74438,0.66157,0.6865,0.4633,1.23204,0.87082,0.87198,0.000297081,0.000297081,0.000297081
39,350.791,0.67711,0.44862,0.86622,0.83086,0.58225,0.6744,0.45992,1.28711,0.86799,0.88593,0.000275084,0.000275084,0.000275084
40,360.108,0.69927,0.45708,0.8688,0.72821,0.68522,0.69039,0.47221,1.2839,0.87454,0.88843,0.000253086,0.000253086,0.000253086
41,369.719,0.70411,0.47628,0.86496,0.81906,0.58657,0.65989,0.43853,1.31347,0.91813,0.89083,0.000231088,0.000231088,0.000231088
42,378.82,0.68811,0.45661,0.85641,0.6631,0.64389,0.67235,0.45363,1.32017,0.88732,0.89359,0.00020909,0.00020909,0.00020909
43,387.964,0.68504,0.44671,0.85341,0.71166,0.57638,0.6208,0.41072,1.33473,0.94778,0.89793,0.000187092,0.000187092,0.000187092
44,397.242,0.68502,0.43852,0.85973,0.73633,0.60861,0.64242,0.43576,1.32446,0.92457,0.8926,0.000165095,0.000165095,0.000165095
45,406.376,0.66853,0.43609,0.85472,0.73641,0.60992,0.67668,0.45156,1.30895,0.92218,0.89772,0.000143097,0.000143097,0.000143097
46,415.453,0.66162,0.42979,0.85206,0.84576,0.59655,0.68968,0.46717,1.32465,0.902,0.89425,0.000121099,0.000121099,0.000121099
47,424.525,0.64435,0.41532,0.84793,0.77928,0.63352,0.69267,0.47191,1.32214,0.91868,0.89229,9.91012e-05,9.91012e-05,9.91012e-05
48,433.637,0.641,0.4152,0.84265,0.82679,0.62637,0.68611,0.47097,1.30548,0.89064,0.89376,7.71034e-05,7.71034e-05,7.71034e-05
49,442.743,0.64077,0.4147,0.84711,0.82002,0.62309,0.69204,0.47593,1.3142,0.90415,0.89321,5.51056e-05,5.51056e-05,5.51056e-05
50,451.882,0.63885,0.41009,0.84489,0.8228,0.61831,0.68978,0.47478,1.31419,0.89615,0.8923,3.31078e-05,3.31078e-05,3.31078e-05
