epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,244.197,0.78957,0.56524,0.89488,0.92047,0.78583,0.85931,0.59784,0.71138,0.4843,0.85306,0.000627048,0.000627048,0.000627048
24,254.94,0.79406,0.56631,0.89616,0.91021,0.79072,0.86319,0.60084,0.70777,0.47652,0.85003,0.000605051,0.000605051,0.000605051
25,265.629,0.79078,0.55254,0.89135,0.88811,0.8212,0.8687,0.60427,0.71146,0.48313,0.85037,0.000583053,0.000583053,0.000583053
26,276.354,0.76511,0.53669,0.88586,0.89983,0.81239,0.87057,0.6196,0.69544,0.47311,0.85449,0.000561055,0.000561055,0.000561055
27,287.141,0.77511,0.54057,0.89027,0.90611,0.78763,0.87958,0.62753,0.70199,0.45729,0.8568,0.000539057,0.000539057,0.000539057
28,298.007,0.75262,0.51698,0.88883,0.92675,0.797,0.88489,0.61642,0.68454,0.45685,0.84852,0.000517059,0.000517059,0.000517059
29,308.779,0.75642,0.52702,0.88718,0.92528,0.80189,0.88291,0.62919,0.67726,0.45057,0.84568,0.000495062,0.000495062,0.000495062
30,319.558,0.74082,0.50889,0.87487,0.89637,0.83366,0.8803,0.6462,0.65739,0.45446,0.83966,0.000473064,0.000473064,0.000473064
31,330.406,0.74192,0.50541,0.87271,0.92558,0.79714,0.88301,0.64699,0.65016,0.43336,0.83819,0.000451066,0.000451066,0.000451066
32,341.23,0.73794,0.49687,0.88922,0.88262,0.84435,0.88942,0.65624,0.65678,0.42823,0.8388,0.000429068,0.000429068,0.000429068
33,352.115,0.7372,0.50017,0.8823,0.91982,0.82138,0.88998,0.64985,0.64828,0.42674,0.83582,0.00040707,0.00040707,0.00040707
34,362.939,0.73759,0.49046,0.86924,0.8967,0.86113,0.89518,0.65336,0.63989,0.41672,0.83295,0.000385073,0.000385073,0.000385073
35,373.816,0.72769,0.4818,0.87771,0.90564,0.84298,0.89074,0.65049,0.62205,0.40626,0.8321,0.000363075,0.000363075,0.000363075
36,384.724,0.69357,0.46279,0.86846,0.91774,0.81604,0.89106,0.65565,0.62228,0.40326,0.83357,0.000341077,0.000341077,0.000341077
37,395.645,0.71718,0.46992,0.87838,0.90664,0.85609,0.89633,0.66927,0.60516,0.39204,0.82718,0.000319079,0.000319079,0.000319079
38,406.799,0.70198,0.46443,0.86587,0.92851,0.82776,0.89464,0.65772,0.59802,0.39944,0.82871,0.000297081,0.000297081,0.000297081
39,417.824,0.67711,0.44862,0.86622,0.93175,0.82426,0.89311,0.66379,0.59929,0.3902,0.8268,0.000275084,0.000275084,0.000275084
40,428.831,0.69927,0.45708,0.8688,0.91607,0.84383,0.9,0.67694,0.59745,0.39079,0.82594,0.000253086,0.000253086,0.000253086
41,440.296,0.70411,0.47628,0.86496,0.88877,0.84182,0.89015,0.66583,0.61946,0.39327,0.82986,0.000231088,0.000231088,0.000231088
42,451.369,0.68811,0.45661,0.85641,0.93594,0.83296,0.89219,0.6691,0.60266,0.39446,0.82796,0.00020909,0.00020909,0.00020909
43,462.322,0.68504,0.44671,0.85341,0.93314,0.83754,0.89683,0.67231,0.59675,0.39175,0.82377,0.000187092,0.000187092,0.000187092
44,473.292,0.68502,0.43852,0.85973,0.92161,0.84712,0.89394,0.6694,0.58912,0.3854,0.82329,0.000165095,0.000165095,0.000165095
45,484.2,0.66853,0.43609,0.85472,0.92738,0.84877,0.89794,0.66998,0.58771,0.38221,0.82321,0.000143097,0.000143097,0.000143097
46,495.078,0.66162,0.42979,0.85206,0.92227,0.85066,0.89982,0.68613,0.5765,0.3747,0.82083,0.000121099,0.000121099,0.000121099
47,506.041,0.64435,0.41532,0.84793,0.93461,0.84004,0.90419,0.68802,0.57449,0.36685,0.82035,9.91012e-05,9.91012e-05,9.91012e-05
48,516.972,0.641,0.4152,0.84265,0.93685,0.84298,0.9039,0.68227,0.55994,0.36366,0.81849,7.71034e-05,7.71034e-05,7.71034e-05
49,527.916,0.64077,0.4147,0.84711,0.93056,0.84451,0.89965,0.68114,0.55715,0.35848,0.81773,5.51056e-05,5.51056e-05,5.51056e-05
50,538.901,0.63885,0.41009,0.84489,0.92508,0.85615,0.90234,0.68565,0.55598,0.35746,0.81731,3.31078e-05,3.31078e-05,3.31078e-05
